ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
Pozdniakov2014,Pozdniakov2014.pdf,,application/pdf,sources/Pozdniakov2014.pdf,
QLAA1979,QLAA1979.pdf,,application/pdf,sources/QLAA1979.pdf,
Ray1895,Ray1895.pdf,,application/pdf,sources/Ray1895.pdf,
Rea1958,Rea1958.pdf,,application/pdf,sources/Rea1958.pdf,
Rea1973,Rea1973.pdf,,application/pdf,sources/Rea1973.pdf,
Ringe1992,Ringe1992.pdf,,application/pdf,sources/Ringe1992.pdf,
Ringe2002,Ringe2002.pdf,,application/pdf,sources/Ringe2002.pdf,
Rowe1954,Rowe1954.pdf,,application/pdf,sources/Rowe1954.pdf,
Rowe1954b,Rowe1954b.pdf,,application/pdf,sources/Rowe1954b.pdf,
SIL1980,SIL1980.pdf,,application/pdf,sources/SIL1980.pdf,
Samarin1967,Samarin1967.pdf,,application/pdf,sources/Samarin1967.pdf,
Samarin1969,Samarin1967.pdf,,application/pdf,sources/Samarin1969.pdf,
Sato2002,Sato2002.pdf,,application/pdf,sources/Sato2002.pdf,
SatterthwaitePhillips2011,SatterthwaitePhillips2011.pdf,,application/pdf,sources/SatterthwaitePhillips2011.pdf,
Shevoroshkin1991,Shevoroshkin1991.pdf,,application/pdf,sources/Shevoroshkin1991.pdf,
Shin1995,Shin1995.pdf,,application/pdf,sources/Shin1995.pdf,
Sidwell2015,Sidwell2015.pdf,,application/pdf,sources/Sidwell2015.pdf,
Smith1980,Smith1980.pdf,,application/pdf,sources/Smith1980.pdf,
Smith2015,Smith2015.pdf,,application/pdf,sources/Smith2015.pdf,
Snider2004,Snider2004.pdf,,application/pdf,sources/Snider2004.pdf,
Snoek2013,Snoek2013.pdf,,application/pdf,sources/Snoek2013.pdf,
Starostin1991,Starostin1991.pdf,,application/pdf,sources/Starostin1991.pdf,
Starostin2007,Starostin2007.pdf,,application/pdf,sources/Starostin2007.pdf,
Starostin2010,Starostin2010.pdf,,application/pdf,sources/Starostin2010.pdf,
Stokhof-1975-117,Stokhof_1975_117.pdf,,application/pdf,sources/Stokhof-1975-117.pdf,
Struve2014,Struve2014.pdf,,application/pdf,sources/Struve2014.pdf,
Swadesh1950,Swadesh1950.pdf,,application/pdf,sources/Swadesh1950.pdf,
Swadesh1952,Swadesh1952.pdf,,application/pdf,sources/Swadesh1952.pdf,
Swadesh1954,Swadesh1954.pdf,,application/pdf,sources/Swadesh1954.pdf,
Swadesh1955,Swadesh1955.pdf,,application/pdf,sources/Swadesh1955.pdf,
Swadesh1971,Swadesh1971.pdf,,application/pdf,sources/Swadesh1971.pdf,
Tadmor2009,Tadmor2009.pdf,,application/pdf,sources/Tadmor2009.pdf,
Thomas1960,Thomas1960.pdf,,application/pdf,sources/Thomas1960.pdf,
Thomas1979,Thomas1979.pdf,,application/pdf,sources/Thomas1979.pdf,
Tolmie1884,Tolmie1884.pdf,,application/pdf,sources/Tolmie1884.pdf,
Trask1996,Trask1996.pdf,,application/pdf,sources/Trask1996.pdf,
Trask2000,Trask2000.pdf,,application/pdf,sources/Trask2000.pdf,
Trick1983,Trick1983.pdf,,application/pdf,sources/Trick1983.pdf,
Tryon1983,Tryon1983.pdf,,application/pdf,sources/Tryon1983.pdf,
Urban2011,Urban2011.pdf,,application/pdf,sources/Urban2011.pdf,
Urban2016,Urban2016.pdf,,application/pdf,sources/Urban2016.pdf,
Voorhoeve1971,Voorhoeve1971.pdf,,application/pdf,sources/Voorhoeve1971.pdf,
Voorhoeve1975,Voorhoeve1975.pdf,,application/pdf,sources/Voorhoeve1975.pdf,
Walker2011,Walker2011.pdf,,application/pdf,sources/Walker2011.pdf,
Wang1960,Wang1960.pdf,,application/pdf,sources/Wang1960.pdf,
Wang2004,Wang2004.pdf,,application/pdf,sources/Wang2004.pdf,
Wichmann2010,Wichmann2010.pdf,,application/pdf,sources/Wichmann2010.pdf,
Wilkins1996,Wilkins1996.pdf,,application/pdf,sources/Wilkins1996.pdf,
Wilson1969,Wilson1969.pdf,,application/pdf,sources/Wilson1969.pdf,
Wittmann1969,Wittmann1969.pdf,,application/pdf,sources/Wittmann1969.pdf,
Woodward1991,Woodward1991.pdf,,application/pdf,sources/Woodward1991.pdf,
Woodward2009,Woodward2009.pdf,,application/pdf,sources/Woodward2009.pdf,
Wu2020,Wu2020.pdf,,application/pdf,sources/Wu2020.pdf,
Youn2016,Youn2016.pdf,,application/pdf,sources/Youn2016.pdf,
Zgraggen1980,Zgraggen1980.pdf,,application/pdf,sources/Zgraggen1980.pdf,
Zheng2007,Zheng2007.pdf,,application/pdf,sources/Zheng2007.pdf,
Zorc1974,Zorc1974.pdf,,application/pdf,sources/Zorc1974.pdf,
vanderWouw1974,vanderWouw1974.pdf,,application/pdf,sources/vanderWouw1974.pdf,
